,gene_category
DQ723006,
DQ723029,
DQ723061,
DQ723085,
DQ723102,
DQ723134,
DQ723160,
DQ723201,
DQ723223,
DQ723226,
DQ723231,
DQ723239,
DQ723262,
DQ723275,
DQ723305,
DQ723308,
DQ723383,
DQ723397,
DQ723401,
DQ723404,
DQ723429,
DQ723438,
DQ723452,
DQ723458,
DQ723500,
DQ723510,
DQ723566,
DQ723570,
DQ723578,
DQ723589,
DQ723592,
DQ723595,
DQ723598,
DQ723607,
DQ723631,
DQ723633,
DQ723643,
DQ723648,
DQ723665,
DQ723677,
DQ723704,
DQ723763,
DQ723771,
DQ723777,
DQ723845,
DQ723850,
DQ723871,
DQ723876,
DQ723890,
DQ723909,
DQ723948,
DQ723949,
DQ723956,
DQ723978,
DQ723991,
DQ723996,
DQ724019,
DQ724027,
DQ724032,
DQ724092,
DQ724107,
DQ724109,
DQ724143,
DQ724198,
DQ724203,
DQ724237,
DQ724247,
DQ724252,
DQ724256,
DQ724299,
DQ724322,
DQ724356,
DQ724363,
DQ724380,
DQ724387,
DQ724475,
DQ724494,
DQ724508,
DQ724511,
DQ724512,
DQ724516,
DQ724531,
DQ724532,
DQ724541,
DQ724542,
DQ724543,
DQ724562,
DQ724574,
DQ724579,
DQ724588,
DQ724590,
DQ724625,
DQ724629,
DQ724646,
DQ724649,
DQ724664,
DQ724678,
DQ724684,
DQ724707,
DQ724729,
DQ724813,
DQ724814,
DQ724863,
DQ724865,
DQ724884,
DQ724896,
DQ724898,
DQ724952,
DQ725003,
DQ725027,
DQ725048,
DQ725059,
DQ725072,
DQ725081,
DQ725097,
DQ725111,
DQ725126,
DQ725128,
DQ725163,
DQ725177,
DQ725182,
DQ725209,
DQ725213,
DQ725291,
DQ725296,
DQ725319,
DQ725325,
DQ725337,
DQ725339,
DQ725355,
DQ725364,
DQ725413,
DQ725435,
DQ725449,
DQ725458,
DQ725525,
DQ725560,
DQ725586,
DQ725616,
DQ725630,
DQ725656,
DQ725679,
DQ725680,
DQ725681,
DQ725733,
DQ725761,
DQ725778,
DQ725779,
DQ725784,
DQ725791,
DQ725848,
DQ725849,
DQ725860,
DQ725871,
DQ725875,
DQ725877,
DQ725898,
DQ725943,
DQ725962,
DQ726010,
DQ726025,
DQ726035,
DQ726065,
DQ726078,
DQ726121,
DQ726127,
DQ726146,
DQ726151,
DQ726154,
DQ726158,
DQ726174,
DQ726177,
DQ726245,
DQ726247,
DQ726248,
DQ726275,
DQ726285,
DQ726341,
DQ726346,
DQ726353,
DQ726379,
DQ726408,
DQ726412,
DQ726464,
DQ726470,
DQ726480,
DQ726481,
DQ726489,
DQ726495,
DQ726545,
DQ726565,
DQ726586,
DQ726589,
DQ726604,
DQ726614,
DQ726630,
DQ726631,
DQ726638,
DQ726650,
DQ726662,
DQ726766,
DQ726768,
DQ726785,
DQ726829,
DQ726843,
DQ726846,
DQ726861,
DQ726874,
DQ726875,
DQ726893,
DQ726911,
DQ726916,
DQ726954,
DQ727011,
DQ727024,
DQ727054,
DQ727056,
DQ727057,
DQ727065,
DQ727080,
DQ727096,
DQ727109,
DQ727184,
DQ727197,
DQ727213,
DQ727224,
DQ727227,
DQ727241,
DQ727320,
DQ727336,
DQ727343,
DQ727348,
DQ727384,
DQ727392,
DQ874391,
DQX1,
DR1,
DRAM1,
DRAM2,
DRAP1,
DRD1A,
DRD2,
DRD3,
DRD4,
DRD5,
DRG1,
DRG2,
DROSHA,
DRP1,
DRP2,
DSC1,
DSC2,
DSC3,
DSCAM,
DSCAML1,
DSCC1,
DSCR3,
DSE,
DSEL,
DSG1A,
DSG1B,
DSG1C,
DSG2,
DSG3,
DSG4,
DSN1,
DSP,
DSPP,
DSTN,
DSTYK,
DTD1,
DTHD1,
DTL,
DTNA,
DTNB,
DTNBP1,
DTWD1,
DTWD2,
DTX1,
DTX2,
DTX3,
DTX3L,LPS Response
DTX4,
DTYMK,
DUB1,
DUB1A,
DUB2A,
DUOX1,
DUOX2,
DUOXA1,
DUOXA2,
DUPD1,
DUS1L,
DUS2L,
DUS3L,
DUS4L,
DUSP1,
DUSP10,
DUSP11,
DUSP12,
DUSP13,
DUSP14,LPS Response
DUSP15,
DUSP16,LPS Response
DUSP18,
DUSP2,LPS Response
DUSP21,
DUSP22,
DUSP23,
DUSP26,
DUSP27,
DUSP28,
DUSP3,
DUSP4,
DUSP5,LPS Response
DUSP6,
DUSP7,
DUSP8,
DUSP9,
DUT,
DUX,
DVL1,
DVL2,
DVL3,
DXBAY18,
DYDC1,
DYDC2,
DYM,
DYNC1H1,
DYNC1I1,
DYNC1I2,
DYNC1LI1,
DYNC1LI2,
DYNC2LI1,
DYNLL1,
DYNLL2,
DYNLRB1,
DYNLRB2,
DYNLT1B,
DYNLT1C,
DYNLT1E,
DYNLT3,
DYRK1A,
DYRK1B,
DYRK2,LPS Response
DYRK3,
DYRK4,
DYSF,
DYSFIP1,
DYSTROPHIN,
DYTN,
DYX1C1,
DZIP1,
DZIP1L,
DZIP3,
E030002O03RIK,
E030003E18RIK,
E030010A14RIK,
E030019B06RIK,
E030024N20RIK,
E030025P04RIK,
E030037K03RIK,LPS Response
E130012A19RIK,
E130018O15RIK,
E130112N10RIK,
E130114P18RIK,
E130201H02RIK,
E130203B14RIK,
E130303B06RIK,
E130304I02RIK,
E130306D19RIK,
E130308A19RIK,
E130309D02RIK,
E130309D14RIK,
E130309F12RIK,
E130311K13RIK,
E130317F20RIK,
E230008N13RIK,
E230016K23RIK,
E230019M04RIK,
E230025N22RIK,
E230028L10RIK,
E230029C05RIK,
E2F1,
E2F2,
E2F3,
E2F4,
E2F5,
E2F6,
E2F7,
E2F8,
E330009J07RIK,
E330012B07RIK,
E330013P04RIK,
E330014E10RIK,
E330016A19RIK,LPS Response
E330017A01RIK,
E330020D12RIK,
E330021D16RIK,
E330033B04RIK,
E330034G19RIK,
E430016F16RIK,
E430018J23RIK,
E430025E21RIK,
E4F1,
E530001F21RIK,
E530011L22RIK,
EAF1,
EAF2,
EAPP,
EAR1,
EAR10,
EAR11,
EAR14,
EAR2,
EAR5,
EAR6,
EARS2,
EBAG9,
EBF1,
EBF2,
EBF3,
EBI3,LPS Response
EBNA1BP2,
EBP,
EBPL,
ECD,
ECE1,
ECE2,
ECEL1,
ECH1,
ECHDC1,
ECHDC2,
ECHDC3,
ECHS1,
ECM1,
ECM2,
ECSCR,
ECSIT,
ECT2,
ECT2L,
EDA,
EDA2R,
EDAR,
EDARADD,
EDC3,
EDC4,
EDDM3B,
EDEM1,
EDEM2,
EDEM3,
EDF1,
EDIL3,
EDN1,LPS Response
EDN2,
EDN3,
EDNRA,
EDNRB,
EEA1,
EED,
EEF1A1,
EEF1A2,
EEF1B2,
EEF1D,
EEF1E1,
EEF1G,
EEF2,
EEF2K,
EEFSEC,
EEPD1,
EF437368,
EF437385,
EF651840,
EF651841,
EFCAB1,
EFCAB10,
EFCAB2,
EFCAB3,
EFCAB4A,
EFCAB4B,
EFCAB5,
EFCAB6,
EFCAB7,
EFCAB8,
EFCAB9,
EFEMP1,
EFEMP2,
EFHA1,
EFHA2,
EFHB,
EFHC1,
EFHC2,
EFHD1,
EFHD2,
EFNA1,
EFNA2,
EFNA3,
EFNA4,
EFNA5,
EFNB1,
EFNB2,
EFNB3,
EFR3A,
EFR3B,
EFS,
EFTUD1,
EFTUD2,
EG212225,
EG214403,
EG232599,
EG245297,
EG328264,
EG382421,
EG432743,
EG432982,
EG434280,
EG434510,
EG545728,
EG545936,
EG545963,
EG547424,
EG624367,
EG625321,
EG629133,
EG629219,
EG630579,
EG633640,
EG654453,
EGF,
EGFEM1,
EGFL6,
EGFL7,
EGFL8,
EGFLAM,
EGFR,
EGLN1,
EGLN2,
EGLN3,
EGR1,
EGR2,
EGR3,
EGR4,
EHBP1,
EHBP1L1,
EHD1,LPS Response
EHD2,
EHD3,
EHD4,LPS Response
EHF,
EHHADH,
EHMT1,
EHMT2,
EI24,
EID1,
EID2,
EID2B,
EID3,
EIF1,
EIF1A,
EIF1AD,
EIF1AX,
EIF1B,
EIF2A,
EIF2AK1,
EIF2AK2,LPS Response
EIF2AK3,
EIF2AK4,
EIF2B1,
EIF2B2,
EIF2B3,
EIF2B4,
EIF2B5,
EIF2C2,
EIF2C3,LPS Response
EIF2C4,
EIF2S1,
EIF2S2,
EIF2S3X,
EIF2S3Y,
EIF3A,
EIF3B,
EIF3C,
EIF3D,
EIF3E,
EIF3F,
EIF3G,
EIF3H,
EIF3I,
EIF3J,
EIF3K,
EIF3L,
EIF3M,
EIF4A1,
EIF4A2,
EIF4A3,
EIF4B,
EIF4E,
EIF4E1B,
EIF4E2,
EIF4E3,
EIF4EBP1,
EIF4EBP2,
EIF4EBP3,
EIF4ENIF1,
EIF4G1,
EIF4G2,
EIF4G3,
EIF4H,
EIF5,
EIF5A,
EIF5A2,
EIF5B,
EIF6,
ELAC1,
ELAC2,
ELANE,
ELAVL1,
ELAVL2,
ELAVL3,
ELAVL4,
ELF1,
ELF2,
ELF3,
ELF4,
ELF5,
ELFN1,
ELFN2,
ELK1,
ELK3,
ELK4,
ELL,
ELL2,LPS Response
ELL3,
ELMO2,
ELMO3,
ELMOD1,
ELMOD2,
ELMOD3,
ELN,
ELOF1,
ELOVL1,
ELOVL2,
ELOVL3,
ELOVL4,
ELOVL5,
ELOVL6,
ELOVL7,
ELP2,
ELP3,
ELP4,
ELTD1,
EMB,
EMCN,
EMD,
EME1,
EME2,
EMG1,
EMID1,
EMID2,
EMILIN1,
EMILIN2,
EMILIN3,
EML1,
EML2,
EML3,
EML4,
EML5,
EML6,
EMP1,
EMP2,
EMP3,
EMR1,
EMR4,
EMX1,
EMX2,
EMX2OS,
EN1,
EN2,
ENAH,
ENAM,
ENC1,
ENDOD1,
ENDOG,
ENDOU,
ENG,LPS Response
ENGASE,
ENHO,
ENKUR,
ENO1,
ENO2,
ENO3,
ENO4,
ENOPH1,
ENOX1,
ENOX2,
ENPEP,
ENPP1,
ENPP2,
ENPP3,
ENPP4,LPS Response
ENPP5,
ENPP6,
ENPP7,
ENSA,
ENSMUSG00000054427,
ENSMUSG00000058934,
ENSMUSG00000073777,
ENSMUSG00000076818,
ENSMUSG00000076836,
ENSMUSG00000079376,
ENTHD1,
ENTPD1,
ENTPD2,
ENTPD3,
ENTPD4,
ENTPD5,
ENTPD6,
ENTPD7,
ENTPD8,
ENY2,
EOMES,
EP300,
EP400,
EPAS1,
EPB4.1,
EPB4.1L1,
EPB4.1L2,
EPB4.1L3,
EPB4.1L4A,
EPB4.1L4B,
EPB4.1L5,
EPB4.2,
EPB4.9,
EPC1,
EPC2,
EPCAM,
EPDR1,
EPGN,
EPHA1,
EPHA10,
EPHA2,
EPHA3,
EPHA4,LPS Response
EPHA5,
EPHA6,
EPHA7,
EPHA8,
EPHB1,
EPHB2,
EPHB3,
EPHB4,
EPHB6,
EPHX1,
EPHX2,
EPHX3,
EPHX4,
EPM2A,
EPM2AIP1,
EPN1,
EPN2,
EPN3,
EPO,
EPOR,
EPPK1,
EPRS,
EPS15,
EPS15L1,
EPS8,
EPS8L1,
EPS8L2,
EPS8L3,
EPSTI1,LPS Response
EPT1,
EPX,
EPYC,
ERAL1,
ERAP1,
ERAS,
ERBB2,
ERBB2IP,
ERBB3,
ERBB4,
ERC1,
ERC2,
ERCC1,
ERCC2,
ERCC3,
ERCC4,
ERCC5,
ERCC6,
ERCC6L,
ERCC8,
EREG,LPS Response
ERF,
ERG,
ERGIC1,
ERGIC2,
ERGIC3,
ERH,
ERI1,
ERI2,
ERI3,
ERICH1,
ERLEC1,
ERLIN1,
ERLIN2,
ERMAP,
ERMN,
ERMP1,
ERN1,
ERN2,
ERO1L,
ERO1LB,
ERP27,
ERP29,
ERP44,
ERRFI1,
ERV3,
ESAM,
ESCO1,
ESCO2,
ESD,
ESF1,
ESM1,
ESP15,
ESP23,
ESP31,
ESP34,
ESP36,
ESP4,
ESP8,
ESPL1,
ESPN,
ESPNL,
ESR1,
ESR2,
ESRP1,
ESRP2,
ESRRA,
ESRRB,
ESRRG,
ESX1,
ESYT1,
ESYT2,
ESYT3,
ETAA1,
ETD,
ETF1,
ETFA,
ETFB,
ETFDH,
ETHE1,
ETL4,
ETNK1,LPS Response
ETNK2,
ETOHD2,
ETOHI1,
ETS1,
ETS2,LPS Response
ETV1,
ETV2,
ETV3,LPS Response
ETV4,
ETV5,
ETV6,
EU234017,
EU234022,
EU523866,
EU599041,
EVC,
EVC2,
EVI2A,
EVI2B,
EVI5,
EVI5L,
EVL,
EVPL,
EVX1,
EVX2,
EWSR1,
EXD1,
EXD2,
EXO1,
EXOC1,
EXOC2,
EXOC3,
EXOC3L,
EXOC3L2,
EXOC4,
EXOC5,
EXOC6,
EXOC6B,
EXOC7,
EXOC8,
EXOG,
EXOSC1,
EXOSC10,
EXOSC2,
EXOSC3,
EXOSC4,
EXOSC5,
EXOSC6,
EXOSC7,
EXOSC8,
EXOSC9,
EXPH5,
EXPI,LPS Response
EXT1,LPS Response
EXT2,
EXTL1,
EXTL2,
EXTL3,
EYA1,
EYA2,
EYA3,
EYA4,
EZH1,
EZH2,
EZR,
F10,LPS Response
F11,
F11R,
F12,
F13A1,
F13B,
F2,
F2R,
F2RL1,
F2RL2,
F2RL3,
F3,LPS Response
F5,
F630028O10RIK,
F630042J09RIK,
F630043A04RIK,
F630110N24RIK,
F7,
F730043M19RIK,
F730047E07RIK,
F8,
F830002L21RIK,
F830016B08RIK,
F830045P16RIK,
F8A,
F9,
F930015N05RIK,
FA2H,
FAAH,LPS Response
FABP1,
FABP12,
FABP2,
FABP3,LPS Response
FABP4,
FABP5,
FABP6,
FABP7,
FABP9,
FADD,
FADS1,
FADS2,
FADS3,
FADS6,
FAF1,
FAH,
FAHD1,
FAHD2A,
FAIM,
FAIM2,
FAIM3,
FAM100A,
FAM100B,
FAM101A,
FAM101B,
FAM102A,
FAM102B,LPS Response
FAM103A1,
FAM105A,
FAM105B,
FAM107A,
FAM107B,
FAM108A,
FAM108B,
FAM108C,
FAM109A,
FAM109B,
FAM110A,
FAM110B,
FAM110C,
FAM111A,
FAM113A,
FAM113B,
FAM114A1,
FAM114A2,
FAM115A,
FAM115C,
FAM115E,
FAM116A,
FAM116B,
FAM117A,
FAM117B,
FAM118A,
FAM118B,
FAM119A,
FAM120A,
FAM120B,
FAM120C,
FAM122A,
FAM122B,
FAM122C,
FAM123A,
FAM123B,
FAM123C,
FAM124B,
FAM125A,
FAM125B,
FAM126A,
FAM126B,
FAM129A,LPS Response
FAM129B,
FAM129C,
FAM131A,
FAM131B,
FAM131C,
FAM132A,
FAM132B,
FAM133B,
FAM134A,
FAM134B,
FAM134C,
FAM135A,
FAM135B,
FAM136A,
FAM13A,
FAM13B,
FAM149A,
FAM149B,
FAM150A,
FAM150B,
FAM151A,
FAM151B,
FAM154A,
FAM154B,
FAM155A,
FAM158A,
FAM159A,
FAM159B,
FAM160A1,
FAM160A2,
FAM160B2,
FAM161A,
FAM161B,
FAM162A,
FAM162B,
FAM163A,
FAM163B,
FAM164A,
FAM164B,
FAM164C,
FAM165B,
FAM166A,
FAM166B,
FAM167A,
FAM167B,
FAM168A,
FAM168B,
FAM169A,
FAM169B,
FAM170A,
FAM170B,
FAM171A1,
FAM171A2,
FAM171B,
FAM172A,
FAM173A,
FAM173B,
FAM174A,
FAM174B,
FAM175A,
FAM175B,
FAM176A,
FAM176B,
FAM177A,LPS Response
FAM178A,
FAM178B,
FAM179A,
FAM179B,
FAM180A,
FAM181A,
FAM181B,
FAM183B,
FAM184A,
FAM184B,
FAM185A,
FAM186A,
FAM186B,
FAM187A,
FAM187B,
FAM188A,
FAM188B,
FAM189A1,
FAM189A2,
FAM189B,
FAM18A,
FAM18B,
FAM190A,
FAM190B,
FAM192A,
FAM193A,
FAM193B,
FAM194A,
FAM195A,
FAM195B,
FAM196A,
FAM196B,
FAM198A,
FAM198B,
FAM199X,
FAM19A1,
FAM19A2,
FAM19A3,
FAM19A4,
FAM19A5,
FAM20A,
FAM20B,
FAM20C,
FAM23A,
FAM24A,
FAM25C,
FAM26D,
FAM26E,
FAM26F,LPS Response
FAM32A,
FAM33A,
FAM35A,
FAM36A,
FAM38A,
FAM38B,
FAM3A,
FAM3B,
FAM3C,
FAM40A,
FAM40B,
FAM43A,
FAM43B,
FAM45A,
FAM46A,LPS Response
FAM46B,
FAM46C,LPS Response
FAM46D,
FAM47A-PS,
FAM47E,
FAM48A,
FAM49A,
FAM49B,
FAM50A,
FAM50B,
FAM53A,
FAM53B,
FAM53C,LPS Response
FAM54A,
FAM54B,
FAM55B,
FAM55C,
FAM55D,
FAM57A,
FAM57B,
FAM58B,
FAM59A,
FAM59B,
FAM5B,
FAM5C,
FAM60A,
FAM63A,
FAM63B,
FAM64A,
FAM65A,
FAM65B,
FAM65C,
FAM69A,
FAM69B,
FAM69C,
FAM70A,
FAM70B,
FAM71A,
FAM71B,
FAM71D,
FAM71E1,
FAM71E2,
FAM71F1,
FAM72A,
FAM73A,
FAM73B,
FAM76A,
FAM76B,
FAM78A,
FAM78B,
FAM81A,
FAM82A1,
FAM82A2,LPS Response
FAM82B,
FAM83A,
FAM83B,
FAM83C,
FAM83D,
FAM83E,
FAM83F,
FAM83G,
FAM83H,
FAM84A,
FAM84B,
FAM86,
FAM89A,
FAM92A,
FAM92B,
FAM96A,
FAM96B,
FAM98A,
FAM98B,
FAM98C,
FAN1,
FANCA,
FANCB,
FANCC,
FANCD2,
FANCE,
FANCF,
FANCG,
FANCI,
FANCM,
FANK1,
FAP,
FAR1,
FAR2,
FARP1,
FARP2,
FARS2,
FARSA,
FARSB,
FAS,
FASL,
FASN,
FASTK,
FASTKD1,
FASTKD2,
FASTKD3,
FASTKD5,
FAT1,
FAT2,
FAT3,
FAT4,
FATE1,
FAU,
FBF1,
FBL,
FBLIM1,
FBLL1,
FBLN1,
FBLN2,
FBLN5,
FBLN7,
FBN1,
FBN2,
FBP1,
FBP2,
FBRS,
FBRSL1,
FBXL12,
FBXL13,
FBXL14,
FBXL15,
FBXL16,
FBXL17,
FBXL18,
FBXL19,
FBXL2,
FBXL20,
FBXL21,
FBXL22,
FBXL3,
FBXL4,
FBXL5,
FBXL6,
FBXL7,
FBXL8,
FBXO10,
FBXO11,
FBXO15,
FBXO16,
FBXO17,
FBXO18,
FBXO2,
FBXO21,
FBXO22,
FBXO24,
FBXO25,
FBXO27,
FBXO28,
FBXO3,
FBXO30,
FBXO31,
FBXO32,
FBXO33,
FBXO34,
FBXO36,
FBXO38,
FBXO39,
FBXO4,
FBXO40,
FBXO41,
FBXO42,
FBXO43,
FBXO44,
FBXO45,
FBXO46,
FBXO47,
FBXO48,
FBXO5,
FBXO6,
FBXO7,
FBXO8,
FBXO9,
FBXW10,
FBXW13,
FBXW14,
FBXW15,
FBXW16,
FBXW17,LPS Response
FBXW18,
FBXW19,
FBXW2,
FBXW20,
FBXW21,
FBXW22,
FBXW24,
FBXW26,
FBXW28,
FBXW4,
FBXW5,
FBXW7,
FBXW8,
FBXW9,
FCAMR,
FCER1A,
FCER1G,
FCER2A,
FCF1,
FCGBP,
FCGR1,
FCGR2B,
FCGR3,
FCGR4,LPS Response
FCGRT,
FCHO1,
FCHO2,
FCHSD1,
FCNA,
FCNB,
FCRL1,
FCRL5,
FCRL6,
FCRLA,
FCRLB,
FCRLS,
FDFT1,
FDPS,
FDX1,
FDX1L,
FDXACB1,
FDXR,
FECH,
FELE-1,
FEM1A,
FEM1B,
FEM1C,
FEN1,
FER1L4,
FERD3L,
FERMT1,
FERMT2,
FERMT3,
FERT2,
FES,
FETUB,
FEV,
FEZ1,
FEZ2,
FEZF1,
FEZF2,
FFAR1,
FFAR2,
FFAR3,
FGA,
FGB,
FGD1,
FGD2,
FGD3,
FGD4,
FGD5,
FGD6,
FGF1,
FGF10,
FGF11,
FGF12,
FGF13,
FGF14,
FGF15,
FGF16,
FGF17,
FGF18,
FGF2,
FGF20,
FGF21,
FGF22,
FGF23,
FGF3,
FGF4,
FGF5,
FGF6,
FGF7,
FGF8,
FGF9,
FGFBP1,
FGFBP3,LPS Response
FGFR1,
FGFR1OP,
FGFR1OP2,
FGFR2,
FGFR3,
FGFR4,
FGFRL1,
FGG,
FGGY,
FGL1,
FGL2,LPS Response
FGR,
FH1,
FHAD1,
FHDC1,
FHIT,
FHL1,
FHL2,
FHL3,
FHL4,
FHL5,
FHOD1,
FHOS2,
FIBCD1,
FIBIN,
FIBP,
FICD,
FIG4,
FIGF,
FIGLA,
FIGN,
FIGNL1,
FILIP1,
FILIP1L,LPS Response
FIP1L1,
FIS1,
FITM1,
FITM2,
FIZ1,
FJ422280,
FJ748867,
FJX1,
FKBP10,
FKBP11,
FKBP14,
FKBP15,
FKBP1A,
FKBP1B,
FKBP2,
FKBP3,
FKBP4,
FKBP5,
FKBP6,
FKBP7,
FKBP8,
FKBP9,
FKBPL,
FKRP,
FKTN,
FLAD1,
FLAME-3,
FLCN,
FLG,
FLG2,
FLI1,
FLII,
FLNA,
FLNB,LPS Response
FLNC,
FLOT1,
FLOT2,
FLRT1,
FLRT2,
FLRT3,
FLT1,
FLT3,
FLT3L,
FLT4,LPS Response
FLYWCH1,
FLYWCH2,
FMN1,
FMN2,
FMNL1,
FMNL2,LPS Response
FMNL3,
FMO1,
FMO2,
FMO3,
FMO4,
FMO5,
FMO6,
FMO9,
FMOD,
FMR1,
FMR1NB,
FN1,
FN3K,
FN3KRP,
FNBP1,
FNBP1L,LPS Response
FNBP4,
FND3C2,
FNDC1,
FNDC3A,LPS Response
FNDC3B,
FNDC3C1,
FNDC4,
FNDC5,
FNDC7,LPS Response
FNDC8,
FNIP1,
FNIP2,
FNTA,
FNTB,
FOLH1,
FOLR1,
FOLR2,
FOLR4,
FOS,
FOSB,
FOSL1,
FOSL2,
FOXA1,
FOXA2,
FOXA3,
FOXB1,
FOXB2,
FOXC1,
FOXC2,
FOXD1,
FOXD2,
FOXD3,
FOXD4,
FOXE1,
FOXE3,
FOXF1A,
FOXF2,
FOXG1,
FOXH1,
FOXI1,
FOXI2,
FOXI3,
FOXJ1,
FOXJ2,
FOXJ3,
FOXK1,
FOXK2,
FOXL1,
FOXL2,
FOXL2OS,
FOXM1,
FOXN1,
FOXN2,
FOXN3,
FOXN4,
FOXO1,
FOXO3,
FOXO4,
FOXO6,
FOXP1,
FOXP2,
FOXP3,
FOXP4,
FOXQ1,
FOXR1,
FOXR2,
FOXRED1,
FOXRED2,
FOXS1,
FPGS,
FPGT,
FPR-RS3,
FPR-RS4,
FPR-RS6,
FPR1,LPS Response
FPR2,LPS Response
FPR3,
FRAS1,
FRAT1,
FRAT2,
FREM1,
FREM2,
FREM3,
FRG1,
FRK,
FRMD3,
FRMD4A,LPS Response
FRMD4B,LPS Response
FRMD5,
FRMD6,
FRMD7,
FRMD8,
FRMPD1,
FRMPD3,
FRMPD4,
FRRS1,
FRS2,
FRS3,
FRY,
FRYL,
FRZB,
FSBP,
FSCB,
FSCN1,LPS Response
FSCN2,
FSCN3,
FSD1,
FSD1L,
FSD2,
FSHB,
FSHR,
FSIP1,
FST,LPS Response
FSTL1,LPS Response
FSTL3,
FSTL4,
FSTL5,
FTCD,
FTH1,
FTHL17,
FTL1,
FTL2,
FTMT,
FTO,
FTSJ1,
FTSJ2,
FTSJ3,
FTSJD1,
FTSJD2,LPS Response
FUBP1,
FUBP3,
FUCA1,
FUCA2,
FUK,
FUNDC1,
FUNDC2,
FURIN,LPS Response
FUS,
FUT1,
FUT10,
FUT11,
FUT2,
FUT4,
FUT4-PS1,
FUT7,
FUT8,
FUT9,
FUZ,
FV1,
FXC1,
FXN,
FXR1,
FXR2,
FXYD1,
FXYD2,
FXYD3,
FXYD4,
FXYD5,
FXYD6,
FXYD7,
FYB,
FYCO1,
FYN,
FYTTD1,
FZD1,LPS Response
FZD10,
FZD2,
FZD3,
FZD4,
FZD5,LPS Response
FZD6,
FZD7,
FZD8,
FZD9,
FZR1,
G0S2,
G2E3,
G3BP,
G3BP2,
G530011O06RIK,LPS Response
G630016D24RIK,
G630025P09RIK,
G630090E17RIK,
G6B,
G6PC,
G6PC2,
G6PC3,
G6PD2,
G6PDX,
GAA,
GAB1,
GAB2,
GAB3,
GABARAP,
GABARAPL1,
GABARAPL2,
GABBR1,
GABBR2,
GABPA,
GABPB1,
GABPB2,
GABRA1,
GABRA2,
GABRA3,
GABRA4,
GABRA5,
GABRA6,
GABRB1,
GABRB2,
GABRB3,
GABRD,
GABRE,
GABRG1,
GABRG2,
GABRG3,
GABRP,
GABRQ,
GABRR1,
GABRR2,
GABRR3,
GAD1,
GAD2,
GADD45A,
GADD45B,LPS Response
GADD45G,
GADD45GIP1,
GADL1,
GAK,
GAL,
GAL3ST1,
GAL3ST2,
GAL3ST3,
GAL3ST4,
GALC,
GALE,
GALK1,
GALK2,
GALM,
GALNS,
GALNT1,
GALNT10,
GALNT11,
GALNT12,
GALNT13,
GALNT14,
GALNT2,
GALNT3,
GALNT4,
GALNT5,
GALNT6,
GALNT7,
GALNT9,
GALNTL1,
GALNTL2,
GALNTL4,
GALNTL5,
GALNTL6,
GALP,
GALR1,
GALR2,
GALR3,
GALT,
GAMT,
GAN,
GANAB,
GANC,
GAP43,
GAPDH,
GAPDHS,
GAPT,
GAPVD1,
GAR1,
GARI,
GARNL3,
GARS,
GART,
GAS1,
GAS2,
GAS2L1,
GAS2L2,
GAS2L3,
GAS5,
GAS6,
GAS7,
GAS8,
GAST,
GATA1,
GATA2,
GATA3,
GATA4,
GATA5,
GATA6,
GATAD1,
GATAD2A,
GATAD2B,
GATC,
GATM,
GATSL2,
GATSL3,
GBA,
GBAS,
GBE1,
GBF1,
GBGT1,LPS Response
GBP11,
GBP2,LPS Response
GBP3,LPS Response
GBP4,LPS Response
GBP5,LPS Response
GBP6,LPS Response
GBP8,
GBP9,LPS Response
GBX1,
GBX2,
GC,
GCA,LPS Response
GCAT,
GCC1,
GCC2,
GCDH,
GCET2,
GCFC1,
GCG,
GCGR,
GCH1,LPS Response
GCHFR,
GCK,
GCKR,
GCLC,
GCLM,
GCM1,
GCM2,
GCN1L1,
GCNT1,
GCNT2,LPS Response
GCNT3,
GCNT4,
GCNT7,
GCOM1,
GCSH,
GDA,
GDAP1,
GDAP1L1,
GDAP2,
GDE1,
GDF10,
GDF11,
GDF15,
GDF2,
GDF3,
GDF5,
GDF6,
GDF7,
GDF9,
GDI1,
GDI2,
GDNF,
GDPD1,
GDPD2,
GDPD3,
GDPD4,
GDPD5,
GEM,LPS Response
GEMIN4,
GEMIN5,
GEMIN6,
GEMIN7,
GEMIN8,
GEN1,
GET4,
GFAP,
GFER,
GFI1,LPS Response
GFI1B,
GFM1,
GFM2,
GFOD1,
GFOD2,
GFPT1,
GFPT2,
GFRA1,
GFRA2,
GFRA3,
GFRA4,
GFRAL,
GGA1,
GGA2,
GGA3,
GGCT,
GGCX,
GGH,
GGN,
GGNBP1,
GGNBP2,
GGPS1,
GGT1,
GGT5,
GGT6,
GGT7,
GGTA1,
GH,
GHDC,
GHITM,
GHR,
GHRH,
GHRHR,
GHRL,
GHSR,
GIF,
GIG18,
GIGYF1,
GIGYF2,
GIMAP1,
GIMAP3,
GIMAP4,
GIMAP5,
GIMAP6,
GIMAP7,
GIMAP8,
GIMAP9,
GIN1,
GINS1,
GINS2,
GINS3,
GINS4,
GIP,
GIPC1,
GIPC2,
GIPC3,
GIPR,
GIT1,
GIT2,
GIYD1,
GJA1,LPS Response
GJA10,
GJA3,
GJA4,
GJA5,
GJA6,
GJA8,
GJB1,
GJB2,
GJB3,
GJB4,
GJB5,
GJB6,
GJC1,
GJC2,
GJC3,
GJD2,
GJD3,
GJD4,
GJE1,
GK2,
GK5,
